iter	Passed	Remaining
0	217	108396
1	246	61448
2	279	46301
3	308	38258
4	339	33592
5	370	30517
6	400	28177
7	429	26420
8	470	25669
9	522	25606
10	561	24939
11	595	24222
12	632	23693
13	672	23351
14	705	22807
15	736	22269
16	768	21832
17	807	21633
18	841	21301
19	878	21075
20	907	20690
21	949	20637
22	980	20332
23	1011	20062
24	1041	19792
25	1085	19789
26	1121	19650
27	1176	19830
28	1217	19778
29	1258	19710
30	1297	19627
31	1335	19536
32	1391	19695
33	1431	19620
34	1464	19461
35	1505	19403
36	1534	19208
37	1565	19035
38	1596	18874
39	1628	18722
40	1673	18737
41	1702	18565
42	1731	18398
43	1760	18247
44	1802	18229
45	1831	18076
46	2002	19295
47	2078	19569
48	2113	19450
49	2160	19442
50	2299	20244
51	2404	20712
52	2520	21257
53	2614	21597
54	2687	21748
55	2721	21579
56	2753	21398
57	2782	21203
58	2814	21037
59	2861	20987
60	2890	20799
61	2921	20637
62	2950	20468
63	2984	20333
64	3029	20272
65	3062	20135
66	3091	19978
67	3126	19861
68	3163	19758
69	3192	19613
70	3222	19468
71	3251	19331
72	3287	19231
73	3322	19127
74	3351	18989
75	3381	18864
76	3411	18741
77	3451	18673
78	3479	18543
79	3509	18422
80	3539	18309
81	3567	18183
82	3608	18129
83	3640	18030
84	3674	17941
85	3705	17840
86	3741	17759
87	3785	17722
88	3822	17653
89	3859	17581
90	3901	17535
91	3931	17435
92	3961	17335
93	3992	17244
94	4022	17146
95	4060	17088
96	4090	16994
97	4121	16907
98	4151	16815
99	4179	16716
100	4219	16670
101	4249	16580
102	4278	16492
103	4305	16394
104	4335	16309
105	4374	16261
106	4403	16172
107	4433	16093
108	4462	16009
109	4501	15960
110	4533	15888
111	4563	15808
112	4595	15737
113	4628	15673
114	4667	15626
115	4699	15558
116	4731	15489
117	4761	15414
118	4794	15349
119	4841	15331
120	4872	15261
121	4899	15181
122	4930	15112
123	4971	15076
124	5002	15007
125	5032	14939
126	5061	14866
127	5105	14838
128	5139	14779
129	5173	14725
130	5211	14678
131	5256	14654
132	5294	14610
133	5328	14554
134	5359	14489
135	5389	14424
136	5427	14380
137	5458	14317
138	5487	14252
139	5518	14190
140	5546	14121
141	5590	14093
142	5622	14036
143	5654	13978
144	5686	13923
145	5727	13887
146	5756	13823
147	5787	13765
148	5821	13712
149	5862	13679
150	5891	13617
151	5922	13559
152	5953	13502
153	5987	13451
154	6026	13414
155	6058	13359
156	6086	13297
157	6123	13254
158	6162	13216
159	6193	13161
160	6223	13103
161	6253	13046
162	6285	12995
163	6321	12951
164	6351	12896
165	6381	12840
166	6413	12787
167	6450	12747
168	6482	12696
169	6512	12641
170	6542	12588
171	6581	12551
172	6616	12506
173	6647	12455
174	6678	12402
175	6708	12350
176	6750	12318
177	6780	12266
178	6816	12224
179	6847	12173
180	6881	12128
181	6917	12086
182	6947	12034
183	6978	11984
