Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,90,RL,71.0,18410,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,PosN,Norm,1Fam,SFoyer,6,7,1971,1993,Gable,CompShg,AsbShng,AsbShng,None,132.69605771827693,Gd,TA,CBlock,Gd,Gd,Av,Unf,45.07717479778668,Unf,,166.31837499878665,218.99711264463681,GasA,Ex,Y,SBrkr,1838,401,0,2239,3,0,2,1,3,1,TA,8,Typ,1,Fa,Basment,,Unf,3,193.0864729752851,NA,Gd,Y,1443,88,54,22,326,0,NA,MnPrv,NA,0,11,2007,ConLw,AdjLand,380935
2,30,RL,94.0,6344,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,2.5Unf,8,7,1928,1953,Gable,CompShg,Stucco,CBlock,BrkFace,189.2257019605875,Gd,Gd,PConc,Gd,TA,NA,Rec,1907.3656367279236,Rec,164.47758800933312,343.5986924989333,2415.44191723619,GasW,Gd,Y,SBrkr,1929,645,21,2595,2,0,2,0,2,1,Gd,10,Typ,0,Fa,Attchd,1968.0,RFn,2,247.15761535579267,Ex,NA,Y,52,315,0,0,74,44,NA,NA,NA,304,6,2008,New,AdjLand,391955
3,85,RL,60.0,6913,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,RRAn,Feedr,TwnhsE,2Story,6,8,1971,1996,Gable,CompShg,HdBoard,Plywood,BrkFace,67.45283653966491,Gd,Gd,PConc,Gd,Gd,No,BLQ,662.0280553791473,Unf,9.486143195821537,242.12498662479024,913.6391851997591,GasA,Gd,Y,SBrkr,1766,1642,0,3408,2,0,2,2,2,1,Gd,6,Typ,0,Po,2Types,1995.0,Fin,1,197.9052378256173,Ex,Gd,Y,234,58,500,0,96,0,NA,GdPrv,NA,1210,4,2007,ConLw,Partial,420742
4,80,RL,85.0,6110,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,2.5Fin,4,4,1914,1986,Gable,CompShg,BrkFace,CemntBd,None,25.223568881385457,TA,TA,BrkTil,Gd,TA,Mn,NA,2500.0,Unf,0.1027570708791688,72.25192579225035,2572.3546828631297,GasA,Gd,Y,FuseF,979,1869,23,2871,0,1,3,0,4,1,TA,5,Typ,0,NA,Attchd,1974.0,NA,2,625.162638893056,Fa,Gd,Y,28,4,0,30,0,0,NA,MnPrv,NA,446,10,2006,COD,Abnorml,385232
5,60,RM,56.0,3986,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,PosA,Norm,1Fam,2.5Fin,5,6,1992,1995,Hip,CompShg,BrkFace,BrkFace,BrkFace,5.8055047732464855,Gd,Gd,CBlock,Gd,TA,Mn,NA,237.0563601892703,Unf,1.30294146936698,133.0197040664982,371.37900572513547,GasA,Gd,Y,SBrkr,2318,1872,0,4190,1,0,2,1,3,1,Gd,4,Min2,1,Fa,Detchd,2010.0,NA,2,292.8604302112211,Po,NA,Y,425,122,123,9,38,207,NA,NA,NA,0,9,2009,ConLI,Abnorml,443348
6,150,RL,59.0,8460,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosA,Norm,1Fam,SLvl,10,6,1900,2009,Gable,CompShg,Plywood,CBlock,None,34.656153851898694,TA,TA,CBlock,Gd,Gd,Av,Rec,332.13214380790953,Unf,3.431631730400719,533.4477644853225,869.0115400236327,GasA,Gd,Y,SBrkr,1409,905,0,2314,0,0,3,1,3,1,TA,6,Typ,1,NA,NA,1903.0,NA,3,503.1960719342748,TA,Ex,Y,0,63,51,28,55,94,NA,NA,NA,2009,5,2007,VWD,Normal,409581
7,180,RL,69.0,4046,Pave,NA,Reg,Lvl,AllPub,CulDSac,Gtl,Edwards,Feedr,Norm,1Fam,2.5Unf,7,6,1873,1990,Hip,CompShg,Wd Sdng,MetalSd,BrkFace,21.052723017500373,Gd,Gd,PConc,Gd,Po,Av,Rec,2500.0,GLQ,11.528891327238425,1316.0528221620393,3827.5817134892777,GasA,TA,Y,SBrkr,3367,342,0,3709,0,0,2,1,4,1,Gd,7,Min2,0,TA,NA,1931.0,NA,2,261.8655102916549,Fa,Ex,P,132,70,97,166,0,218,NA,GdPrv,NA,130,4,2006,COD,Normal,538486
8,160,RM,,5788,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,2.5Unf,10,4,1946,1951,Gable,CompShg,CBlock,WdShing,None,69.48901256433928,Fa,TA,CBlock,TA,Fa,Av,LwQ,719.6085632475717,Unf,25.84196919628731,543.8414715968607,1289.2920040407198,GasA,Ex,Y,SBrkr,932,1338,0,2270,0,0,1,0,3,1,Ex,6,Typ,0,Gd,NA,1948.0,RFn,2,122.36646117483276,Gd,Po,Y,29,29,70,23,12,225,NA,NA,NA,286,10,2008,ConLI,AdjLand,431007
9,20,RL,63.0,6564,Pave,NA,IR1,Lvl,AllPub,Inside,Mod,Gilbert,Artery,Norm,1Fam,1Story,6,6,2000,1993,Gable,CompShg,MetalSd,HdBoard,BrkFace,21.459216703677576,TA,TA,Slab,Fa,Gd,Mn,BLQ,200.88113648967706,Unf,10.674976291411122,789.4589871198568,1001.015099900945,Grav,Gd,Y,SBrkr,687,1569,33,2289,1,0,4,0,2,1,TA,10,Typ,1,Ex,NA,1911.0,NA,1,54.27515239721764,Gd,Ex,Y,654,154,26,59,0,0,NA,GdPrv,NA,782,8,2010,Oth,Alloca,391182
10,180,RL,105.0,5021,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,BrkSide,RRAe,Norm,1Fam,1.5Unf,4,5,1932,1959,Gable,CompShg,BrkComm,CBlock,None,160.19161324934998,Gd,TA,BrkTil,Gd,TA,No,Rec,2500.0,Unf,1.9251765313182145,111.11072176938251,2613.035898300701,GasA,Ex,Y,SBrkr,927,0,0,927,1,0,3,0,2,1,Fa,5,Typ,0,Ex,CarPort,1939.0,Unf,1,278.6727486171585,NA,TA,P,31,109,0,0,0,282,NA,MnPrv,NA,396,5,2008,ConLD,Abnorml,262255
